1000

1           22.6199     	75.8193     	331.985     	
1           23.456      	76.319      	332.214     	
1           24.1053     	76.663      	332.891     	
1           24.6843     	77.0591     	333.605     	
1           25.2536     	77.3147     	334.386     	
1           25.7383     	77.7169     	335.162     	
1           25.6472     	78.1554     	336.055     	
1           25.5485     	78.6197     	336.936     	
1           25.4581     	79.3053     	337.659     	
1           25.2561     	79.8341     	338.484     	
1           24.8359     	80.6521     	338.876     	
1           24.5236     	81.5447     	339.199     	
1           23.9295     	82.3418     	339.093     	
1           23.6263     	83.0712     	338.479     	
1           23.5899     	83.9375     	337.98      	
1           23.9235     	84.7329     	337.475     	
1           24.3067     	85.6461     	337.624     	
1           24.6136     	86.4557     	338.122     	
1           24.9508     	87.2208     	338.673     	
1           25.6549     	87.6193     	339.261     	
1           26.3584     	87.3229     	339.906     	
1           26.5825     	86.6421     	340.602     	
1           26.7104     	85.9828     	341.345     	
1           26.9358     	85.3138     	342.052     	
1           26.8019     	84.9172     	342.961     	
1           26.415      	84.4785     	343.771     	
1           25.5551     	84.2237     	344.215     	
1           24.9791     	83.6303     	344.776     	
1           24.3591     	83.3834     	345.52      	
1           23.6278     	82.9462     	346.044     	
1           22.9628     	83.28       	346.712     	
1           22.14       	82.984      	347.197     	
1           21.284      	82.6063     	347.552     	
1           20.8122     	82.095      	348.27      	
1           21.0288     	81.303      	348.841     	
1           21.5603     	80.637      	349.365     	
1           22.0316     	79.8296     	349.721     	
1           22.034      	78.83       	349.682     	
1           22.5068     	77.9601     	349.554     	
1           23.1503     	77.3856     	349.045     	
1           24.1384     	77.3689     	348.895     	
1           25.1255     	77.2266     	348.972     	
1           25.8994     	77.0776     	349.586     	
1           26.8703     	77.0336     	349.821     	
1           27.8072     	76.7624     	349.6       	
1           28.729      	76.5969     	349.247     	
1           29.6748     	76.569      	348.928     	
1           30.5774     	76.8754     	348.621     	
1           31.4141     	77.313      	348.293     	
1           31.923      	78.0004     	347.775     	
1           32.1618     	78.969      	347.844     	
1           32.731      	79.7876     	347.928     	
1           33.2621     	80.63       	348.012     	
1           34.0464     	81.1842     	347.731     	
1           34.6607     	81.7578     	347.19      	
1           35.4029     	82.3683     	346.913     	
1           35.8885     	83.2326     	347.044     	
1           36.2848     	84.1229     	347.269     	
1           36.8651     	84.9369     	347.292     	
1           37.2234     	85.8429     	347.518     	
1           37.3986     	86.7764     	347.83      	
1           37.6908     	87.699      	348.082     	
1           38.1849     	88.4712     	348.482     	
1           38.5924     	89.373      	348.338     	
1           38.7258     	90.3641     	348.342     	
1           38.8916     	91.3498     	348.312     	
1           39.5374     	91.9805     	347.882     	
1           40.3186     	92.3353     	347.368     	
1           41.1405     	92.5596     	346.845     	
1           41.7333     	92.7884     	346.073     	
1           41.8739     	92.7552     	345.083     	
1           42.1503     	92.432      	344.178     	
1           42.1708     	92.0477     	343.255     	
1           42.2402     	91.6402     	342.344     	
1           42.4968     	91.8573     	341.403     	
1           42.9368     	92.4398     	340.719     	
1           43.6316     	92.7788     	340.085     	
1           44.5266     	93.1378     	339.82      	
1           45.2245     	93.1192     	339.104     	
1           45.9669     	93.5648     	338.604     	
1           46.6519     	93.9374     	337.978     	
1           47.3295     	94.4899     	337.492     	
1           47.8999     	95.0936     	336.936     	
1           48.5085     	95.7258     	336.456     	
1           48.6959     	96.5381     	335.904     	
1           49.2845     	97.023      	335.257     	
1           49.6741     	97.8877     	334.94      	
1           50.0477     	98.5404     	334.281     	
1           50.3503     	99.0861     	333.499     	
1           50.4782     	99.8198     	332.832     	
1           50.4264     	100.777     	332.548     	
1           50.8262     	101.486     	331.967     	
1           51.4499     	102.247     	331.787     	
1           52.1604     	102.943     	331.892     	
1           53.0139     	103.463     	331.926     	
1           53.753      	104.137     	331.916     	
1           54.5218     	104.765     	331.8       	
1           55.1966     	105.497     	331.703     	
